 98 1858  90 1516  92 2004  92  90  92 1542 1890 100 1502  88 1886  94 1562  90  92  90 1516  92  94  92  94  92 1570  96 1526  94 1546 102 1528  92  90  88 232 1430 102 4316  92 246 260  98 1510 106 1530  92  92 1554  90  92  92 282  88 1950  94 1852  92  94 2494  90  94  90 
 40  40  42  42  40  42  40  40  38  44  44  40  44  38  46  38  38  44  46  46  40  42  42  40  40  46  66  42  40  40  42  42  40  42  38  38  38  38  44  76  40  40  38  40  38  42  38  38  42  40  40  40  42  42  36  38  38  38  42  42  38  40  42  38 
 40  40  38  38  40  42  40  38  38  38  46  40  42  40  46  40  40  40  40  46  52  46  44  40  38  40  42  38  40  42  38  40  40  40  40  40  40  42  46  42  42  38  38  38  40  40  40  38  40  40  42  40  38  40  40  38  40  38  40  38  42  40  44  42 
 42  42  42  40  42  40  42  42  40  40  48  40  42  42  46  42  38  42  38  42  48  44  46  46  42  42  40  40  40  40  42  40  42  40  40  42  38  40  46  40  38  38  38  46  40  38  42  40  42  40  40  40  40  40  40  42  40  38  40  42  42  40  42  40 
 38  40  40  38  40  42  42  38  40  40  44  38  40  38  46  40  38  40  42  38  38  38  42  38  46  44  38  42  42  42  42  40  38  40  38  40  40  40  44  38  40  40  40  38  44  40  40  38  42  40  42  40  42  38  38  38  42  40  40  42  38  40  40  38 
 38  42  40  40  40  42  42  38  36  40  44  38  40  40  46  38  40  40  38  40  40  40  40  42  42  46  48  42  40  38  42  38  42  40  40  40  42  40  44  38  40  40  38  40  40  38  40  38  40  40  40  40  38  38  38  40  40  42  40  38  38  40  42  40 
 42  42  40  40  40  38  40  40  38  40  38  40  40  40  46  40  40  38  40  40  40  38  40  42  40  38  46  46  46  44  40  40  40  42  40  42  38  38  42  40  38  38  42  42  38  40  42  40  40  36  38  38  38  42  38  40  40  42  38  38  40  38  42  40 
 38  40  38  42  40  40  42  42  42  40  44  40  40  40  40  40  42  40  40  42  42  40  40  42  42  40  40  40  42  42  44  48  42  42  40  40  40  42  46  40  40  40  42  42  38  40  40  38  40  40  38  40  40  40  40  40  42  42  40  40  42  42  42  40 
 38  36  38  38  40  38  38  40  40  38  36  38  38  36  46  40  38  38  38  38  40  40  36  38  38  38  40  40  40  38  38  40  44  42  38  38  38  40  42  38  40  40  38  38  38  38  40  40  38  38  40  38  42  38  38  40  36  36  38  40  38  40  40  40 
 38  38  40  40  36  40  42  36  38  40  44  38  40  40  40  38  38  38  40  42  38  38  40  38  36  40  38  38  40  42  40  40  44  44  46  42  38  42  44  40  40  38  40  42  38  40  36  38  38  38  38  38  40  40  38  42  38  42  40  40  44  42  40  38 
 40  40  38  40  38  38  40  38  38  36  38  38  42  40  44  40  40  38  40  40  38  40  38  38  38  36  38  38  38  38  38  36  40  40  40  44  46  38  44  36  38  38  38  40  42  38  40  38  40  40  40  40  40  40  40  38  38  40  38  38  40  40  38  40 
 46  40  38  38  40  38  38  40  40  42  44  42  38  40  38  52  40  38  42  40  40  36  46  42  42  40  40  40  36  40  40 184  38  38  38  38  44  46  54  42  48  40  40  42  40  44  38  40  38  38  42  42  42  44  40  40  38  38  38  38  38  38  38  38 
 86  62  48  40  48  48  52  52  80  40  38  48  42  50  52  40  56  46  72  52  48  44  40  46  54  52  40  50  56  44  48  44  48  62  50  82  40  40  58  42  64  54  44  46  44  46  40  44  46  46  54 358  52  48  46  50  52  40  82  68  56  86  48  46 
 40  38  40  52  44  38  40  38  40  38  50  40  38  38  40  38  38  38  38  38  72  40  38  36  40  38  38  38  42  42  38  38  38  40  40  38  38  44  42  50  40  42  44  44  38  40  40  40  38  38  40  42  38  40  38  40  40  52  38  46  74  40  40  38 
 38  38  40  38  38  40  40  38  38  40  38  38  38  38  42  46  40  40  40  40  38  40  40  42  40  38  38  38  38  38  38  42  40  40  38  40  42  38  48  36  40  40  40  38  46  46  40  40  40  38  38  40  36  40  38  38  38  40  42  38  40  38  40  40 
 38  40  38  42  40  40  38  40  40  42  44  40  40  42  40  40  40  42  40  38  40  36  36  38  42  40  42  38  40  40  38  40  40  38  40  38  40  38  48  42  40  38  38  38  38  40  44  46  38  40  38  42  38  38  40  40  38  38  40  40  42  40  40  42 
 42  42  40  36 346  40  40  42  42  38  38  40  44  42  44  40  40  42  42  40  40  42  40  40  40  42  38  38  44  40  42  42  40  40  40  42  38  38  44  40  40  44  40  44  42  40  38  46  44  50  46  44  38  40  42  40  40  38  38  40  40  42  38  44 
 44  44  38  40  40  38  40  40  40  38  46  40  42  44  42  38  38  42  40  40  42  38  40  42  40  40  40  42  40  38  40  42  42  42  42  40  42  42  48  40  40  42  42  40  42  40  40  40  40  44  48  48  48  42  40  42  42  40  42  40  42  40  40  44 
 40  42  38  40  40  40  40  42  40  40  40  40  40  40  44  40  42  42  40  40  40  40  38  40  40  42  38  40  38  42  38  40  38  42  40  40  40  38  48  40  40  40  40  42  40  40  40  38  42  40  40  38  46  48  42  40  40  40  42  40  38  40  40  40 
 42  42  42  42  44  44  42  38  40  42  46  40  40  40  42  42  38  40  42  40  42  40  42  38  40  42  40  42  42  42  42  40  42  40  42  40  42  40  48  40  42  42  40 232  42  40  42  40  40  42  44  40  40  40  46  46  42  40  42  42  40  40  42  40 
 42  40  42  40  38  40  38  38  38  40  42  40  40  40  46  40  40  40  40  38  40  40  40  40  42  40  40  40  40  38  40  40  40  42  40  40  42  40  46  40  40  40  40  40  42  40  40  38  42  42  40  38  42  42  38  48  46  38  40  40  40  42  42  40 
 42  42  38  44  40  40  42  42  42  40  46  40  42  42  46  38  42  40  40  40  40  40  42  42  44  40  44  44  42  42  40  40  40  40  38  42  40  42  48  40  40  40  38  40  40  40  40  42  42  40  40  42  40  42  40  42  40  46  48  42  40  40  42  44 
 40  40  42  38  40  42  40  40  40  40  38  42  42  40  44  40  40  40  40  40  40  40  42  40  40  40  40  40  42  40  40  40  42  40  40  40  40  40  42  38  40  42  40  42  40  40  40  40  42  40  40  42  40  42  42  42  40  38  42  46  44  44  38  42 
 44  44  42  44  44  40  40  40  42  42  48  40  38  40  40  48  38  42  42  40  40  40  40  38  42  42  44  40  42  40  40 240  40  42  42  40  44  40  46  40  40  42  42  40  42  40  40  42  42  38  38  42  40  42  42  40  40  40  42  38  48  48  48  46 
 48  50  42  46  42  42  40  38  38  42  40  40  40  40  46  40  38  40  40  40  42  40  40  40  38  40  40  42  40  40  46  40  40  38  40  38  40  40  44  42  40  40  38  40  40  40  40  40  40  42  42  40  42  40  40  40  40  40  42  42  40  42  40  42 
 42  48  48  42  42  40  40  42  40  40  48  42  40  40  40  44  40  40  40  40  42  40  42  42  42  40  42  42  42  44  38  40  40  40  42  38  40  42  48  38  42  44  42  42  40  42  38  40  42  38  44  42  40  42  42  42  40  40  42 808  40  40  40  38 
